Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Nov-2021,02-Dec-2021,CE,19050,1.65,1.9,0.55,0.7,0.6,0.7,113,1076.4,0.08,4350,950,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19100,4.6,4.6,0.55,0.65,0.55,0.65,2003,19129.76,1.11,44350,-5300,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19150,3.7,3.7,0.6,0.7,0.7,0.7,3066,29358.83,1.88,2750,1400,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19200,2.4,2.4,0.5,0.6,0.5,0.6,2939,28215.86,1.46,45200,-2200,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19250,1.7,1.8,0.45,0.55,0.5,0.55,7842,75483.08,3.83,2050,150,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19300,2,2.5,0.5,0.65,0.7,0.65,3021,29154.19,1.54,7700,-5200,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19350,1.75,1.95,0.65,0.8,0.65,0.8,4966,48049.35,3.3,10800,5750,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19400,1.75,1.75,0.45,0.55,0.5,0.55,11712,113611.71,5.31,45650,9500,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19450,1.8,1.8,0.45,0.65,0.65,0.65,3438,33436.4,1.85,9050,1450,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19500,1.8,1.8,0.5,0.6,0.5,0.6,55615,542271.81,25.56,1400800,-97800,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19550,1.75,1.9,0.65,0.8,0.75,0.8,6454,63090.77,2.92,4500,1100,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19600,1.7,1.7,0.5,0.6,0.5,0.6,4958,48590.92,2.52,35900,400,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19650,1.45,1.85,0.5,0.7,0.5,0.7,1354,13303.77,0.72,15900,12400,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19700,1.8,1.8,0.45,0.6,0.45,0.6,9290,91510.47,3.97,42900,-41750,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19750,1.8,1.8,0.65,0.7,0.65,0.7,14999,148123.96,8.84,12700,1800,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19800,1.7,1.7,0.5,0.6,0.5,0.6,5861,58027.15,3.25,33550,1700,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19850,1.7,1.7,0.5,0.6,0.5,0.6,1966,19513.41,0.86,7800,5550,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19900,1.5,1.95,0.45,0.6,0.45,0.6,4732,47085.89,2.49,21100,8550,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,19950,1.6,1.65,0.55,0.6,0.55,0.6,4918,49059.64,2.59,31150,18900,-
NIFTY,29-Nov-2021,02-Dec-2021,CE,20000,1.2,1.6,0.4,0.5,0.45,0.5,161753,1617597.36,67.36,3378650,-86650,-
