Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Nov-2021,09-Dec-2021,CE,19250,3,3,3,3,3,3,2,19.25,0,1350,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19300,0,0,0,3.8,3.8,0.1,0,0,0,200,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19350,3,4.5,1.7,3.8,3.8,0.05,21,203.21,0.04,550,200,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19400,0,0,0,8.05,8.05,0.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19450,0,0,0,8.05,8.05,0.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19500,3.95,4,2.05,2.15,2.15,2.15,305,2974.14,0.39,15350,9200,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19550,0,0,0,216.95,0,0.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19600,4.45,4.5,3,3,3,0.05,6,58.81,0.01,350,150,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19650,0,0,0,196.8,0,0.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19700,3,3,3,3,3,0.05,1,9.85,0,50,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19750,3.05,3.5,3.05,3.05,3.05,0,18,177.78,0.03,1000,900,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19800,4.5,4.5,2.7,3,3,0,83,821.85,0.15,4100,3200,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19850,0,0,0,177.95,0,0,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19900,0,0,0,7.9,7.9,0,0,0,0,50,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,19950,0,0,0,183.4,0,0,0,0,0,0,0,-
NIFTY,29-Nov-2021,09-Dec-2021,CE,20000,3.25,3.25,1.45,1.8,1.6,1.8,739,7390.72,0.72,51450,16300,-
