Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,29-Nov-2021,30-Dec-2021,CE,9000,0,0,0,8500,8500,8084.2,0,0,0,7425,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,10000,6851,7161,6835,7059.45,7059.45,7059.45,8,68.04,28.04,516700,-150,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,10500,0,0,0,6654,6654,6589.25,0,0,0,1500,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,10600,0,0,0,5350,5350,6489.55,0,0,0,63750,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,10700,0,0,0,5660,5660,6389.9,0,0,0,69900,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,10800,0,0,0,2341.3,2341.3,6290.25,0,0,0,35625,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,11000,6120,6120,6056,6056,6056,6090.9,2,17.09,6.09,25675,-50,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,11500,5590,5590,5585,5587.5,5585,5587.5,2,17.09,5.59,54250,-100,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,11600,0,0,0,2650,2650,5492.9,0,0,0,5250,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,11700,0,0,0,2480.25,2480.25,5393.25,0,0,0,45900,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,11800,0,0,0,2261.15,2261.15,5293.6,0,0,0,12975,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,11900,0,0,0,1048.1,1048.1,5193.95,0,0,0,29400,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,12000,4880,5148.7,4880,5148.7,5148.7,5094.25,10,85.36,25.36,68325,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,12500,0,0,0,4950,4950,4595.95,0,0,0,16300,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,13000,3896,4170,3896,4090,4090,4097.6,19,161.49,37.99,122750,-550,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,13500,3600,3650,3380.8,3650,3650,3599.3,6,51.19,10.69,10950,-50,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,14000,2980,3191.75,2900,3100.25,3089.2,3100.25,21,179.19,32.19,101875,-550,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,14500,2455.7,2727,2389.95,2594.45,2589.65,2594.45,87,741.72,110.97,290225,-2050,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15000,2107.05,2215.7,1885,2116.9,2107,2116.9,712,6094.69,754.69,681550,14300,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15500,1540,1735.75,1425.55,1631,1631,1631,416,3560.5,336.5,491725,1000,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15550,0,0,0,1564.35,0,1587.8,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15600,0,0,0,1518.55,0,1541.8,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15650,0,0,0,1473.15,0,1496.15,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15700,0,0,0,1428.15,0,1450.9,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15750,0,0,0,1383.55,0,1406.05,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15800,0,0,0,1339.45,0,1361.65,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15850,0,0,0,1295.85,0,1317.75,0,0,0,0,0,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15900,1198.4,1214.4,1061.55,1214.35,1214.35,1274.35,9,76.72,5.17,1750,50,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,15950,1166.75,1222.3,1047.6,1222.3,1222.3,1231.45,6,51.22,3.37,250,200,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16000,1121.15,1275,996.3,1173.6,1176.35,1173.6,2168,18599.68,1255.68,713025,33050,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16050,1078.45,1127.15,970,1127.15,1127.15,1127.15,11,94.01,5.73,700,350,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16100,934.35,1169.85,923.55,1169.85,1169.85,1106.15,12,103.08,6.48,1050,350,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16150,991.75,1044.25,902.4,996.65,996.65,1065.6,13,111.37,6.39,500,450,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16200,950,1019.4,852.15,1019.4,1019.4,1025.7,20,171.47,9.47,3400,450,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16250,828.9,1019.35,828.9,957.7,957.7,957.7,6,51.55,2.8,450,50,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16300,840,1006.95,776.9,916.45,900,916.45,398,3427.18,183.48,6850,3750,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16350,832.25,939,641.7,909.15,909.15,910.25,34,292.31,14.36,1600,50,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16400,696.9,916.9,681.05,834.95,816.6,834.95,481,4132.91,188.71,5550,1250,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16450,714.2,873.7,662.05,792.9,786.9,792.9,90,775.28,35.03,3000,1100,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16500,716.4,837.05,610.8,747.6,754.15,747.6,5997,51698.14,2222.89,555650,91650,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16550,611.05,790.4,601.95,717.95,712.7,717.95,148,1277.74,53.04,3050,450,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16600,632,750,544,674.25,665.35,674.25,745,6424.91,241.41,15150,3650,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16650,624.05,714.65,512,638.65,631,638.65,274,2368.35,87.3,2700,-750,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16700,568.95,675.1,480,605.7,599.55,605.7,1805,15600.9,529.15,25000,7250,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16750,528,633,452.4,562,550.2,562,242,2093.64,66.89,3350,650,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16800,499.95,602.25,420,525.7,521.3,525.7,7066,61155.27,1800.87,79050,45800,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16850,472.95,555.05,393,490,492.4,490,435,3768.07,103.2,6450,1350,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,16900,480.4,529.85,362.1,458.25,456.4,458.25,12041,104394.16,2647.71,119050,83300,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17000,399,459.95,310.4,390.7,395,390.7,95328,829120.96,18832.96,1826400,389625,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17050,358,425.15,288.45,362.75,375.3,362.75,2490,21684.13,456.88,16550,-2000,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17100,335.35,394.85,264.4,333.2,337.15,333.2,43767,381671.11,7463.26,389350,30850,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17150,301.55,362.95,242.75,304.7,305,304.7,3163,27637.32,514.6,47500,10550,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17200,300,333.45,221.4,278.7,276,278.7,48969,428179.45,7046.05,547050,32800,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17250,256.75,302.8,202.95,252.85,248.35,252.85,2245,19653.59,290.47,58350,5650,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17300,197.95,277.4,182.45,230.15,230,230.15,32862,288105.74,3849.44,593850,-31050,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17350,201,251,166.15,208.4,208.3,208.4,2015,17694.48,214.36,51850,-550,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17400,178.85,228.25,149.35,187.45,190,187.45,26793,235698.03,2598.93,529350,-17600,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17450,157.05,205,136.5,168,166.45,168,1903,16772,168.33,50550,1150,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17500,170,185.5,122.25,151.3,151.15,151.3,63028,556397.38,4902.38,1937700,89675,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17550,143.9,165,110.4,134.45,134.7,134.45,1659,14671.89,114.16,32750,-6150,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17600,130.15,148.35,98.5,119.5,124.25,119.5,28873,255894.46,1812.06,720050,45300,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17650,93.35,132,87.75,105.5,104.15,105.5,1372,12182.18,74.28,39750,-9350,-
NIFTY,29-Nov-2021,30-Dec-2021,CE,17700,116.05,116.75,77.6,92.9,91,92.9,27375,243604.54,1335.79,677000,85650,-
